,ID,Area,Year,Room,Price,Floor,Elevator,Parking,Warehouse
0,wYRD1ZGw,230,1397,3,6500000000,3,1,1,1
1,wYRDlP2O,105,1392,2,2000000000,2,0,1,1
2,wYRzEjYs,70,1380,2,830000000,1,0,0,0
3,wYRvEJuD,205,1401,3,4000000000,4,1,1,1
4,wY-27Q_n,120,1384,2,2550000000,1,1,1,0
5,wYRjkkjp,100,1401,2,2700000000,1,1,1,1
6,wYRfUwwW,145,1401,3,2800000000,3,1,1,1
7,wYRnU8hI,85,1396,2,1450000000,5,1,1,1
8,wYR3znoe,100,1401,2,2180000000,3,1,1,1
9,wYR_jWB3,90,1391,2,1175000000,5,1,1,1
10,wYR3DHCe,100,1387,2,990000000,4,0,1,1
11,wYRvTUpy,115,1392,2,2600000000,2,1,1,1
12,wY-u3bhq,135,1401,3,4200000000,2,1,1,1
13,wYRvDV7D,95,1392,2,1345000000,4,1,1,1
14,wYRbz7eB,190,1401,3,4500000000,6,1,1,1
15,wYRjjZ_-,138,1401,3,2691000000,2,1,1,1
16,wYRXTuMg,100,1385,2,1200000000,2,0,1,1
17,wYRXjhu1,110,1396,2,1570000000,4,1,1,1
18,wYRLjq5o,101,1385,2,1500000000,3,1,1,0
19,wYQnAN_o,180,1401,3,3870000000,7,1,1,1
20,wYMXNmIz,90,1395,2,1800000000,7,1,1,1
21,wYRzCSr3,73,1390,2,1500000000,1,1,0,1
22,wYRfiQ0U,95,1397,2,1400000000,2,1,1,1
23,wYR_zPoL,140,1401,3,3650000000,8,1,1,1
24,wYRTSzID,91,1384,2,1050000000,1,1,1,0
25,wYRPyBs0,125,1398,2,2050000000,2,1,1,1
26,wYR3hrvz,120,1401,3,2300000000,5,1,1,1
27,wYLL5gF3,170,1401,3,3250000000,3,1,1,1
28,wY8qQRUI,110,1383,2,1200000000,1,0,0,1
29,wYCbM5tq,100,1392,2,1300000000,5,1,1,1
30,wYL_6P--,127,1393,2,2500000000,1,1,1,0
31,wYPHuBx0,110,1386,3,1350000000,1,0,1,1
32,wYR3Qrld,133,1401,2,3100000000,1,1,1,1
33,wYRjgx7K,123,1401,2,2300000000,2,1,1,1
34,wYNjys3P,225,1400,4,11000000000,3,1,1,1
35,wY1yhPcD,260,1401,4,6500000000,5,1,1,1
36,wY7SdFTr,170,1401,3,4300000000,2,1,1,1
37,wY--lbAy,150,1401,3,3650000000,5,1,1,1
38,wYNbpgIQ,210,1401,3,5000000000,1,1,1,1
39,wYRDgz5P,120,1393,3,3000000000,1,1,1,0
40,wYQ_NUR3,162,1401,3,4000099000,5,1,1,1
41,wYQvtdKc,125,1380,2,1060000000,2,1,1,1
42,wYNrEHBD,155,1401,3,3875000000,5,1,1,1
43,wYD_5SSA,146,1399,3,3500000000,1,1,1,1
44,wYQPP90A,140,1401,2,1300000000,3,1,1,0
45,wYQHPpfn,150,1401,3,5500000000,4,1,1,1
46,wYEjAoC2,145,1401,3,2350000000,1,1,1,1
47,wY1WYhKE,175,1401,3,3500000000,5,1,1,1
48,wYQbe8Rm,149,1387,3,3700000000,3,1,1,1
49,wY1m57Xj,180,1401,3,4500000000,6,1,1,1
50,wYQztIOx,210,1401,3,4300000000,3,1,1,0
51,wY-q3K7i,250,1401,3,8000000000,5,1,1,1
52,wYQnMZXM,210,1401,3,890000000,0,1,1,1
53,wYMnwSCL,180,1401,3,4050000000,7,1,1,1
54,wY_KSSsV,300,1389,4,8200000000,1,0,1,1
55,wYQLrgp1,210,1401,3,5600000000,7,1,1,1
56,wYQTlET_,240,1401,3,7200000000,4,1,1,1
57,wYQbTMDC,186,1400,3,3700000000,1,1,1,1
58,wYM3w1cf,208,1398,3,4800000000,6,1,1,1
59,wY9GX3k6,180,1401,3,3600000000,4,1,1,1
60,wYi1cX39,195,1401,3,3670000000,3,1,1,1
61,wYPHueU_,242,1400,3,8500000000,5,1,1,1
62,wYFznQ6R,250,1390,1,2200000000,3,0,0,1
63,wYPn7Hg7,250,1401,3,6700000000,3,1,1,1
64,wYOPDPrI,235,1396,4,6000000000,5,1,1,1
65,wYPjaRqf,242,1399,4,8500000000,5,1,1,1
